Date,Time,Description,Type,Amount,Balance,Mode,Ref
2024-01-01,03:11,AMAZON SELLER SVCS,Debit,₹2462,678275.0,UPI,TXN190872
01-Jan-24,05:44,BHIM-BMTC,DR,50.00,681007.0,UPI,TXN143064
01-Jan-24,09:35,NEFT-TECHCRUSH LABS-SALARY MAY24,CR,₹84728,484728.0,NEFT,TXN246316
2024-01-01,14:07,UPI-AMAN-8934@OKAXIS,Debit,₹1828,-748745.0,UPI,TXN569226
01 Jan 2024,14:23,BHIM-BLINKIT,Debit,270.00,680737.0,UPI,TXN968962
2024-01-01,14:48,BHIM ZEPTO,DR,Rs. 625,677650.0,UPI,TXN370902
2024-01-01,14:50,UPI-UBER-2426@HDFCBANK,Debit,Rs. 148,677020.0,UPI,TXN546173
01-Jan-24,21:44,BHIM-BLINKIT,Debit,₹482,677168.0,UPI,TXN599219
2024-01-02,05:18,POS SWIGGY BANGALORE,Debit,Rs. 537,676177.0,UPI,TXN293319
02/01/24,06:55,UPI-GROWWPAY@HDFCBANK,DR,3956,672221.0,UPI,TXN418594
02/01/24,07:26,OLA ELECTRIC,Debit,₹350,670989.0,UPI,TXN377405
02-Jan-24,07:39,BMS MOVIE TICKETS,Debit,₹311,671339.0,UPI,TXN282256
02/01/24,11:29,POS OLA-PRIME,DR,258.00,676762.0,UPI,TXN389930
02 Jan 2024,12:35,SWIGGY-INSTAMART,Debit,₹571,671650.0,UPI,TXN717113
02-Jan-24,14:01,UPI-STARBUCKS@AXIS,Debit,266.00,670051.0,UPI,TXN283700
02/01/24,15:42,UPI-THIRDWAVE@OKAXIS,DR,₹405,670584.0,UPI,TXN422554
2024-01-02,20:58,ANI Technologies,Debit,267.00,670317.0,UPI,TXN553014
02/01/24,22:33,BMTC BUS PASS,Debit,Rs. 48,676714.0,UPI,TXN387636
03-Jan-24,00:55,POS TRUFFLES,Debit,₹1411,667323.0,UPI,TXN675898
03/01/24,11:29,FLIPKART INDIA,DR,"2,557.00",663991.0,UPI,TXN535098
2024-01-03,12:56,POS SWIGGY-RESTAURANT,DR,₹537,666786.0,UPI,TXN527809
03/01/24,19:18,GROFERS INDIA P L,Debit,878.00,668734.0,UPI,TXN639593
2024-01-03,21:11,POS UBER BANGALORE,Debit,₹439,669612.0,UPI,TXN268637
2024-01-03,23:58,POS SWIGGY-RESTAURANT,Debit,₹238,666548.0,UPI,TXN975271
04-Jan-24,00:09,BANGALORE ELEC SUPPLY,Debit,1639,659661.0,UPI,TXN993744
2024-01-04,09:00,TWC INDIA,DR,Rs. 272,663719.0,UPI,TXN448588
04 Jan 2024,09:42,UPI-BESCOM-BILL@HDFCBANK,DR,"Rs. 2,135",661300.0,UPI,TXN651499
04-Jan-24,13:48,UPI-AMAN-0816@OKAXIS,Debit,₹2314,-762689.0,UPI,TXN512464
04-Jan-24,15:20,ROPPEN TRANSPORTATION,DR,Rs. 159,659502.0,UPI,TXN203225
2024-01-04,16:06,UPI-STARBUCKS@AXIS,Debit,Rs. 447,659055.0,UPI,TXN356059
04/01/24,16:29,OLA CABS,Debit,284.00,663435.0,UPI,TXN839485
05-Jan-24,00:51,POS ZOMATO,Debit,Rs. 438,658408.0,UPI,TXN362246
05/01/24,07:24,UPI-AMAZONPAY@HDFCBANK,Debit,4208,654200.0,UPI,TXN515032
2024-01-05,08:58,POS BLINKIT,Debit,502,652929.0,UPI,TXN970813
05/01/24,11:43,IMPS-RENT-LANDLORD-75500265,Debit,"18,000.00",466728.0,IMPS,TXN948749
2024-01-05,12:48,ZOMATO MEDIA P L,DR,Rs. 569,653431.0,UPI,TXN707727
05-Jan-24,16:51,UPI-ANKIT-6430@OKAXIS,DR,2115,-739917.0,UPI,TXN170038
05-Jan-24,17:43,BHIM ZEPTO,DR,Rs. 200,654000.0,UPI,TXN767542
05/01/24,19:10,UPI-OLACABS@HDFCBANK,DR,209.00,658846.0,UPI,TXN581894
05-Jan-24,21:30,POS ZOMATO,DR,₹695,652234.0,UPI,TXN809176
06 Jan 2024,07:26,UPI-JIORECHARGE@PAYTM,DR,₹258,650045.0,UPI,TXN575679
06 Jan 2024,09:13,UPI-CCD@HDFCBANK,DR,Rs. 358,647279.0,UPI,TXN937302
06/01/24,15:28,Swiggy*Order,Debit,₹407,648885.0,UPI,TXN228093
06-Jan-24,18:23,INSTAMART BANGALORE,DR,290.00,650303.0,UPI,TXN586819
06/01/24,19:01,UPI-ZOMATO-LIMITED@PAYTM,Debit,267.00,647012.0,UPI,TXN651640
06-Jan-24,19:05,AVENUE SUPERMARTS,DR,₹1248,647637.0,UPI,TXN970127
06-Jan-24,22:44,GROFERS INDIA P L,Debit,753,649292.0,UPI,TXN393328
06-Jan-24,23:51,POS HP PETROL STATION,Debit,"1,641.00",650593.0,UPI,TXN712955
07/01/24,08:04,UPI-VIKAS-6060@OKAXIS,Debit,Rs. 329,-732464.0,UPI,TXN285796
07/01/24,08:38,POS BANGALORE RESTAURANT,Debit,"7,314.00",-411932.0,UPI,TXN388441
07/01/24,10:24,UPI-ZERODHA-COIN@AXIS,Debit,"Rs. 15,000",451728.0,UPI,TXN476417
2024-01-07,17:23,BHIM SWIGGY,Debit,442,646570.0,UPI,TXN163780
07 Jan 2024,18:24,OLA ELECTRIC,DR,425.00,645193.0,UPI,TXN906315
07/01/24,20:27,UPI-BOOKMYSHOW@HDFCBANK,DR,₹952,645618.0,UPI,TXN763829
2024-01-07,20:27,OLA CABS,Debit,351.00,644842.0,UPI,TXN492483
08/01/24,00:47,BLINKIT BANGALORE,Debit,640,642426.0,UPI,TXN144357
08/01/24,09:44,POS ZEPTO BANGALORE,DR,466.00,643939.0,UPI,TXN132146
08/01/24,11:04,AMAZON SELLER SVCS,Debit,"Rs. 2,814",639612.0,UPI,TXN940247
2024-01-08,11:44,UPI-DMART@OKAXIS,DR,"Rs. 1,862",637750.0,UPI,TXN456005
08/01/24,12:55,ROPPEN TRANSPORTATION,DR,Rs. 143,644643.0,UPI,TXN988432
08-Jan-24,14:05,UPI-RAPIDO@OKAXIS,DR,56.00,644786.0,UPI,TXN445658
08-Jan-24,14:42,UPI-RAPIDO@OKAXIS,DR,113.00,643066.0,UPI,TXN403507
2024-01-08,18:17,POS UBER BANGALORE,DR,₹366,643179.0,UPI,TXN811163
08 Jan 2024,18:24,POS SWIGGY-RESTAURANT,DR,₹394,643545.0,UPI,TXN891083
08-Jan-24,21:23,BUNDL Tech P L,DR,238.00,644405.0,UPI,TXN827157
09 Jan 2024,03:58,TATA STARBUCKS,Debit,₹316,635732.0,UPI,TXN777513
09/01/24,06:40,POS CAFE COFFEE DAY,DR,₹179,637571.0,UPI,TXN306854
09-Jan-24,10:48,UPI-ZOMATO-LIMITED@PAYTM,Debit,535,637036.0,UPI,TXN774225
2024-01-09,14:03,POS ZEPTO BANGALORE,Debit,527.00,636048.0,UPI,TXN930281
09-Jan-24,17:55,UBER SYSTEMS INDIA,Debit,Rs. 461,636575.0,UPI,TXN177794
2024-01-09,20:00,UPI-MYNTRA@HDFCBANK,DR,"10,745.00",-370896.0,UPI,TXN947220
2024-01-10,05:06,POS UBER BANGALORE,DR,425.00,634839.0,UPI,TXN248298
10-Jan-24,05:08,UPI-FLIPKART@HDFCBANK,DR,934,630718.0,UPI,TXN748052
10 Jan 2024,07:41,UPI-BWSSB@AXIS,Debit,651.00,634188.0,UPI,TXN969226
10-Jan-24,17:28,UPI-ZOMATO6393@OKICICI,Debit,₹468,635264.0,UPI,TXN761532
10 Jan 2024,23:58,UPI-DMART@OKAXIS,DR,"Rs. 2,536",631652.0,UPI,TXN903373
11-Jan-24,09:53,BLINKIT BANGALORE,Debit,839.00,629879.0,UPI,TXN921874
11-Jan-24,12:19,AMAZON IN,Debit,"Rs. 4,092",625787.0,UPI,TXN538997
11-Jan-24,19:51,UPI-GROWWPAY@HDFCBANK,DR,"Rs. 4,476",621311.0,UPI,TXN230734
11 Jan 2024,20:17,BHIM ZEPTO,Debit,610,620701.0,UPI,TXN535050
12 Jan 2024,04:38,UPI-NETFLIX-MEMB@HDFCBANK,Debit,334.00,451394.0,UPI,TXN479201
12/01/24,05:05,FLIPKART INDIA,DR,₹1835,618866.0,UPI,TXN970068
12/01/24,12:58,AIRTEL POSTPAID,Debit,₹879,447850.0,UPI,TXN881177
12 Jan 2024,18:15,UPI-AMAZONPAY@HDFCBANK,DR,"Rs. 2,717",612057.0,UPI,TXN662093
12-Jan-24,18:15,POS SWIGGY BANGALORE,DR,₹547,611510.0,UPI,TXN478120
2024-01-12,18:16,BANGALORE ELEC SUPPLY,DR,₹2329,445521.0,UPI,TXN149405
2024-01-12,19:48,Amazon Pay India,DR,"4,092.00",614774.0,UPI,TXN653408
2024-01-12,21:06,UPI-PRIYA-2221@OKAXIS,Debit,1266,-752011.0,UPI,TXN585705
13 Jan 2024,04:08,POS FLIPKART BANGALORE,Debit,Rs. 558,607877.0,UPI,TXN955015
13-Jan-24,06:48,POS NYKAA BANGALORE,DR,"Rs. 1,182",606695.0,UPI,TXN519453
13-Jan-24,12:32,UPI-MYNTRA@HDFCBANK,Debit,"Rs. 2,769",608741.0,UPI,TXN170841
13 Jan 2024,19:40,BHIM-BLINKIT,DR,306.00,608435.0,UPI,TXN829168
13 Jan 2024,19:40,BHIM-BLINKIT,DR,306.00,608435.0,UPI,TXN829168
2024-01-14,01:08,Amazon Pay India,DR,"Rs. 3,256",602425.0,UPI,TXN688956
14/01/24,09:11,VI POSTPAID,Debit,553.00,606142.0,UPI,TXN962287
14 Jan 2024,10:05,VI POSTPAID,Debit,713,601304.0,UPI,TXN846385
2024-01-14,13:06,POS ZOMATO,Debit,₹240,605902.0,UPI,TXN469685
14-Jan-24,13:08,UPI-RAPIDO@OKAXIS,DR,52,605681.0,UPI,TXN490084
14 Jan 2024,13:40,UPI-UBER-6457@HDFCBANK,DR,₹169,605733.0,UPI,TXN737086
14/01/24,16:11,POS BPCL PETROL PUMP,DR,"7,707.00",-330799.0,UPI,TXN455584
14/01/24,18:11,TUMMOC-BMTC,Debit,33.00,601271.0,UPI,TXN486831
14/01/24,20:45,Swiggy*Order,DR,₹408,602017.0,UPI,TXN281043
15 Jan 2024,03:56,POS INDIAN OIL BANGALORE,Debit,₹676,600595.0,UPI,TXN432427
2024-01-15,06:12,UPI-SPOTIFY-IN@AXIS,DR,Rs. 119,451275.0,UPI,TXN974628
15/01/24,06:40,AVENUE SUPERMARTS,DR,"1,620.00",597934.0,UPI,TXN734534
2024-01-15,13:43,UBER SYSTEMS INDIA,DR,404,600191.0,UPI,TXN158104
15/01/24,17:19,OLA CABS,DR,Rs. 367,597338.0,UPI,TXN587002
15 Jan 2024,18:19,POS DINEOUT,Debit,₹637,599554.0,UPI,TXN765905
15-Jan-24,22:02,UPI-BLINKIT-0656@PAYTM,Debit,₹229,597705.0,UPI,TXN757629
16 Jan 2024,05:35,UPI-SWIGGY5057@OKAXIS,Debit,279.00,595192.0,UPI,TXN740725
16 Jan 2024,08:18,ZOMATO-DINING,Debit,684.00,596371.0,UPI,TXN299055
16/01/24,10:45,POS OLA-PRIME,Debit,₹283,597055.0,UPI,TXN571435
16 Jan 2024,12:32,COFFEE DAY GLOBAL,Debit,₹269,596102.0,UPI,TXN470037
16-Jan-24,12:38,POS SWIGGY-RESTAURANT,Debit,631.00,595471.0,UPI,TXN483713
17/01/24,09:50,POS HP PETROL STATION,DR,"1,194.00",593998.0,UPI,TXN943019
17-Jan-24,10:38,AMAZON IN,Debit,"Rs. 4,473",589525.0,UPI,TXN634473
17-Jan-24,17:19,UPI-NYKAA@AXIS,DR,₹2345,587180.0,UPI,TXN787436
17/01/24,17:36,POS CAFE COFFEE DAY,Debit,208.00,586972.0,UPI,TXN133104
2024-01-18,00:35,COFFEE DAY GLOBAL,Debit,190.00,585910.0,UPI,TXN906066
18 Jan 2024,04:45,UPI-SWIGGY9672@OKAXIS,Debit,220.00,586404.0,UPI,TXN243941
18 Jan 2024,08:28,RAPIDO BIKE TAXI,Debit,115.00,586857.0,UPI,TXN165306
18 Jan 2024,10:22,TUMMOC-BMTC,Debit,45,586624.0,UPI,TXN943700
18 Jan 2024,10:22,TUMMOC-BMTC,Debit,45,586624.0,UPI,TXN943700
2024-01-18,15:35,TUMMOC-BMTC,Debit,30.00,586827.0,UPI,TXN855944
18-Jan-24,19:16,UPI-RAPIDO@OKAXIS,Debit,158.00,586669.0,UPI,TXN823769
2024-01-18,20:15,UPI-SWIGGY-6560@HDFCBANK,Debit,Rs. 304,586100.0,UPI,TXN814281
19-Jan-24,03:32,DISNEY HOTSTAR,Debit,₹1257,569514.0,UPI,TXN453487
19/01/24,14:48,UPI-THIRDWAVE@OKAXIS,Debit,249.00,569265.0,UPI,TXN293757
19-Jan-24,16:46,OLA CABS,Debit,₹139,585771.0,UPI,TXN885386
19 Jan 2024,22:56,NEFT ZERODHA BROKING,Debit,"Rs. 15,000",570771.0,UPI,TXN617904
2024-01-20,04:10,DISNEY HOTSTAR,DR,₹1057,450218.0,UPI,TXN584714
20-Jan-24,08:08,UBER INDIA,Debit,384,567252.0,UPI,TXN965708
20-Jan-24,09:19,SWIGGY-INSTAMART,DR,261,567636.0,UPI,TXN485397
20/01/24,11:56,BHIM SWIGGY,DR,₹551,561095.0,UPI,TXN722795
20/01/24,12:48,UPI-ZOMATO-LIMITED@PAYTM,DR,Rs. 505,566747.0,UPI,TXN630041
20-Jan-24,13:35,AMAZONIN MARKETPLACE,DR,₹4037,562343.0,UPI,TXN461264
2024-01-20,16:03,RAPIDO BIKE TAXI,Debit,52,562291.0,UPI,TXN570325
20 Jan 2024,18:10,UPI-ZOMATO4674@OKICICI,Debit,Rs. 367,566380.0,UPI,TXN638179
20/01/24,21:24,POS EMPIRE RESTAURANT,DR,Rs. 464,561827.0,UPI,TXN654531
20/01/24,22:00,POS FLIPKART BANGALORE,DR,"Rs. 1,368",567897.0,UPI,TXN347781
20/01/24,22:42,ATM-WDL-SBI-5715,DR,"Rs. 2,000",-750745.0,ATM,TXN635055
20 Jan 2024,23:53,UPI-SWIGGY-9474@HDFCBANK,Debit,₹181,561646.0,UPI,TXN462974
21/01/24,18:03,UPI-OLACABS@HDFCBANK,DR,245,560850.0,UPI,TXN345536
2024-01-21,19:20,POS MEGHANA FOODS,DR,₹1482,559368.0,UPI,TXN683761
21-Jan-24,21:58,AVENUE SUPERMARTS,Debit,"Rs. 1,097",558271.0,UPI,TXN536548
22/01/24,09:16,POS NYKAA BANGALORE,DR,"Rs. 1,232",556405.0,UPI,TXN734356
22-Jan-24,09:34,ZEPTO MARKETPLACE,DR,634,557637.0,UPI,TXN684357
22 Jan 2024,10:23,POS UBER BANGALORE,Debit,Rs. 402,554935.0,UPI,TXN534037
22/01/24,19:12,UPI-IOC9075@HDFCBANK,Debit,"7,264.00",-378160.0,UPI,TXN734252
22/01/24,19:12,UPI-IOC9075@HDFCBANK,Debit,"7,264.00",-378160.0,UPI,TXN734252
22/01/24,20:12,OLA ELECTRIC,DR,₹420,555985.0,UPI,TXN877493
22/01/24,21:47,UPI-SWIGGY-2954@HDFCBANK,DR,₹254,554681.0,UPI,TXN697467
22-Jan-24,23:30,Swiggy*Order,Debit,Rs. 648,555337.0,UPI,TXN659572
23/01/24,01:33,OLA ELECTRIC,DR,₹260,551946.0,UPI,TXN256130
23-Jan-24,05:09,UBER INDIA,Debit,₹144,552206.0,UPI,TXN658065
23-Jan-24,05:54,POS BANGALORE RESTAURANT,DR,₹1630,549699.0,UPI,TXN986392
23/01/24,15:43,FKART INTRNET,Debit,"1,682.00",552999.0,UPI,TXN277487
23-Jan-24,18:11,UPI-SWIGGY-5808@HDFCBANK,DR,Rs. 649,552350.0,UPI,TXN983472
23/01/24,18:36,AMAZON SELLER SVCS,Debit,1031,548668.0,UPI,TXN817675
23 Jan 2024,19:16,POS ZOMATO,DR,₹617,551329.0,UPI,TXN817269
23-Jan-24,21:36,UPI-BIGBASKET@HDFCBANK,DR,"1,797.00",546871.0,UPI,TXN517643
24/01/24,11:04,AMZN-INTPYMT,Debit,"Rs. 3,208",538953.0,UPI,TXN514913
24/01/24,12:01,POS OLA-PRIME,DR,Rs. 165,542207.0,UPI,TXN188813
2024-01-24,12:04,SWIGGY-INSTAMART,Debit,Rs. 354,545969.0,UPI,TXN493663
2024-01-24,13:25,POS ZOMATO,DR,₹695,537721.0,UPI,TXN924040
24/01/24,15:23,BHIM SWIGGY,DR,Rs. 234,542372.0,UPI,TXN684041
24/01/24,16:15,TUMMOC-BMTC,Debit,₹46,542161.0,UPI,TXN389366
24/01/24,16:42,UPI-AMAZONPAY@HDFCBANK,Debit,"3,363.00",542606.0,UPI,TXN764693
2024-01-24,17:36,BHIM ZEPTO,DR,548,546323.0,UPI,TXN156304
24 Jan 2024,18:43,FLIPKART INDIA,DR,16260,-583293.0,UPI,TXN858498
2024-01-24,18:51,GROFERS INDIA P L,DR,537.00,538416.0,UPI,TXN829066
24-Jan-24,21:37,POS INDIAN OIL BANGALORE,DR,"Rs. 10,408",-323092.0,UPI,TXN781212
25 Jan 2024,05:17,AMZN PRIME,DR,1489,448729.0,UPI,TXN520651
25/01/24,09:32,POS FLIPKART BANGALORE,DR,₹3133,533740.0,UPI,TXN796982
25/01/24,18:02,GROFERS INDIA P L,DR,Rs. 776,532964.0,UPI,TXN643998
25 Jan 2024,18:14,POS OLA-PRIME,Debit,Rs. 348,532616.0,UPI,TXN409783
2024-01-25,18:37,POS SWIGGY BANGALORE,DR,₹459,537262.0,UPI,TXN826490
25-Jan-24,21:50,POS SWIGGY-RESTAURANT,Debit,₹389,536873.0,UPI,TXN726979
25/01/24,23:07,AMZN-INTPYMT,Debit,"1,410.00",531206.0,UPI,TXN574425
26/01/24,08:48,TUMMOC-BMTC,Debit,14.00,530692.0,UPI,TXN613261
2024-01-26,09:19,POS SWIGGY BANGALORE,Debit,Rs. 239,528362.0,UPI,TXN663483
26 Jan 2024,15:38,MYNTRA-ORDER,Debit,"2,091.00",528601.0,UPI,TXN804758
26 Jan 2024,17:11,UPI-RAPIDO@OKAXIS,DR,177,528185.0,UPI,TXN608149
2024-01-26,20:07,POS ZEPTO BANGALORE,DR,173.00,531033.0,UPI,TXN447067
2024-01-26,22:14,OLA CABS,DR,Rs. 327,530706.0,UPI,TXN104666
27-Jan-24,03:14,POS ZOMATO,DR,₹475,526073.0,UPI,TXN669488
27/01/24,14:52,POS EMPIRE RESTAURANT,DR,385,525688.0,UPI,TXN571578
27 Jan 2024,21:05,UPI-ZOMATO-LIMITED@PAYTM,Debit,424.00,525264.0,UPI,TXN548965
27/01/24,22:32,POS TRUFFLES,DR,₹1637,526548.0,UPI,TXN898025
28/01/24,11:13,UPI-SWIGGY-5551@HDFCBANK,Debit,₹592,524672.0,UPI,TXN999695
28-Jan-24,20:44,BUNDL TECH-INSTAMART,DR,Rs. 557,523190.0,UPI,TXN796405
28-Jan-24,20:48,BMTC BUS PASS,DR,35,523747.0,UPI,TXN197616
2024-01-28,20:50,RAPIDO BIKE TAXI,Debit,171.00,523019.0,UPI,TXN693643
28-Jan-24,21:52,MYNTRA DESIGNS,DR,₹890,523782.0,UPI,TXN253347
2024-01-29,05:56,UBER SYSTEMS INDIA,Debit,₹146,515825.0,UPI,TXN593894
29/01/24,10:00,POS MYNTRA,DR,₹3349,518236.0,UPI,TXN945106
29/01/24,13:46,UBER INDIA,DR,₹249,517654.0,UPI,TXN865470
29/01/24,13:56,POS SWIGGY BANGALORE,DR,333.00,517903.0,UPI,TXN739966
2024-01-29,16:19,ZOMATO MEDIA P L,DR,₹571,521585.0,UPI,TXN337178
29/01/24,19:08,ZOMATO MEDIA P L,Debit,Rs. 651,522156.0,UPI,TXN780432
2024-01-29,19:48,UPI-THIRDWAVE@OKAXIS,DR,₹212,522807.0,UPI,TXN548580
2024-01-29,21:13,POS MEGHANA FOODS,DR,₹1360,515971.0,UPI,TXN623850
29-Jan-24,23:20,INSTAMART BANGALORE,Debit,323.00,517331.0,UPI,TXN989079
30-Jan-24,01:04,COFFEE DAY GLOBAL,Debit,Rs. 153,515672.0,UPI,TXN535612
30-Jan-24,01:29,POS DMART BANGALORE,Debit,₹1536,508971.0,UPI,TXN486162
30/01/24,08:15,UBER SYSTEMS INDIA,DR,353,510507.0,UPI,TXN148159
2024-01-30,09:40,AMZN-INTPYMT,DR,"Rs. 1,500",514172.0,UPI,TXN765105
2024-01-30,10:47,UBER INDIA,Debit,476.00,513530.0,UPI,TXN855777
2024-01-30,14:49,OLA ELECTRIC,DR,220.00,508751.0,UPI,TXN827146
30 Jan 2024,15:31,POS HP PETROL STATION,DR,"1,432.00",511499.0,UPI,TXN220936
30 Jan 2024,15:41,COFFEE DAY GLOBAL,DR,₹166,514006.0,UPI,TXN742039
30/01/24,15:47,POS ZOMATO,Debit,₹599,512931.0,UPI,TXN846925
30-Jan-24,18:02,UPI-ZOMATO-LIMITED@PAYTM,DR,639,510860.0,UPI,TXN876644
31 Jan 2024,00:42,AVENUE SUPERMARTS,Debit,1921,506830.0,UPI,TXN249289
31-Jan-24,01:53,Swiggy*Order,DR,₹579,500947.0,UPI,TXN952227
31/01/24,02:19,INSTAMART BANGALORE,DR,₹446,501526.0,UPI,TXN932369
31 Jan 2024,03:49,UPI-DMART@OKAXIS,Debit,₹2774,503513.0,UPI,TXN423284
2024-01-31,06:58,TUMMOC-BMTC,DR,24.00,506806.0,UPI,TXN513507
31/01/24,10:46,BIGBASKET BANGALORE,DR,"Rs. 1,258",499047.0,UPI,TXN255851
2024-01-31,18:27,POS SWIGGY BANGALORE,Debit,₹519,506287.0,UPI,TXN178315
31/01/24,20:05,AMAZONIN MARKETPLACE,Debit,"1,541.00",501972.0,UPI,TXN473023
31/01/24,23:12,POS SWIGGY-RESTAURANT,DR,Rs. 642,500305.0,UPI,TXN276149
01/02/24,08:18,POS UBER BANGALORE,Debit,395,498652.0,UPI,TXN651356
2024-02-01,09:20,INSTAMART BANGALORE,Debit,791.00,497255.0,UPI,TXN344068
01-Feb-24,09:42,NEFT-TECHCRUSH LABS-SALARY MAY24,CR,"84,724.00",530245.0,NEFT,TXN542666
2024-02-01,23:34,UPI-ZOMATO-LIMITED@PAYTM,Debit,606.00,498046.0,UPI,TXN437226
02 Feb 2024,09:49,UPI-DMART@OKAXIS,DR,₹2704,491354.0,UPI,TXN881549
02 Feb 2024,10:11,POS THIRD WAVE COFFEE,DR,435,495636.0,UPI,TXN176054
02/02/24,11:19,SPOTIFY INDIA,Debit,119,496071.0,UPI,TXN311250
02-Feb-24,12:20,ZOMATO MEDIA P L,DR,₹612,496190.0,UPI,TXN949767
02/02/24,14:20,BHIM SWIGGY,DR,₹265,491089.0,UPI,TXN171087
02/02/24,17:55,Swiggy*Order,Debit,₹475,490413.0,UPI,TXN458411
2024-02-02,19:17,UPI-SWIGGY-7959@HDFCBANK,Debit,453,496802.0,UPI,TXN986278
02/02/24,19:35,POS ZEPTO BANGALORE,Debit,778.00,494058.0,UPI,TXN836109
02 Feb 2024,20:46,UPI-BLINKIT-3798@PAYTM,Debit,Rs. 201,490888.0,UPI,TXN493580
02-Feb-24,22:25,UPI-BLINKIT-3397@PAYTM,Debit,800,494836.0,UPI,TXN780714
03/02/24,11:12,BUNDL Tech P L,Debit,Rs. 389,489729.0,UPI,TXN548377
2024-02-03,15:42,UPI-SWIGGY-INSTAMART@OKAXIS,DR,₹451,488791.0,UPI,TXN587648
03-Feb-24,19:35,POS BLINKIT,DR,Rs. 295,490118.0,UPI,TXN156157
03 Feb 2024,21:36,ZOMATO BENGALURU,Debit,231.00,488560.0,UPI,TXN680493
2024-02-03,21:40,POS SWIGGY-RESTAURANT,DR,₹487,489242.0,UPI,TXN923002
04-Feb-24,01:24,BESCOM ELEC BILL,DR,"1,939.00",484786.0,UPI,TXN647945
04 Feb 2024,04:13,UPI-DMART@OKAXIS,DR,₹1169,486725.0,UPI,TXN862422
04-Feb-24,07:09,POS CAFE COFFEE DAY,DR,187,484599.0,UPI,TXN460572
04/02/24,16:34,INSTAMART BANGALORE,DR,666.00,487894.0,UPI,TXN281276
2024-02-05,00:16,POS OLA-PRIME,Debit,₹431,481212.0,UPI,TXN416822
05 Feb 2024,04:30,RAPIDO BIKE TAXI,Debit,103.00,483985.0,UPI,TXN339030
05/02/24,08:55,OLA ELECTRIC,DR,Rs. 362,482396.0,UPI,TXN270820
05-Feb-24,11:24,IMPS-RENT-LANDLORD-39598076,Debit,"Rs. 18,000",512245.0,IMPS,TXN407757
05-Feb-24,12:29,UPI-RESTAURANT-7285@PAYTM,DR,₹403,482758.0,UPI,TXN612530
05/02/24,18:52,POS STARBUCKS BANGALORE,DR,248,483161.0,UPI,TXN310477
05/02/24,19:36,ZOMATO-DINING,Debit,511,484088.0,UPI,TXN447596
2024-02-05,20:13,POS EMPIRE RESTAURANT,DR,₹753,481643.0,UPI,TXN281614
05/02/24,20:25,UPI-RAPIDO@OKAXIS,Debit,₹61,481151.0,UPI,TXN166938
05 Feb 2024,23:28,UPI-SWIGGY2461@OKAXIS,DR,Rs. 576,483409.0,UPI,TXN607993
06/02/24,11:03,INSTAMART BANGALORE,Debit,334,477518.0,UPI,TXN289117
06-Feb-24,12:17,POS ZEPTO BANGALORE,Debit,417.00,480734.0,UPI,TXN856320
06 Feb 2024,13:54,ZOMATO-DINING,Debit,Rs. 260,477852.0,UPI,TXN813763
2024-02-06,17:11,TWC INDIA,Debit,442,478112.0,UPI,TXN489737
2024-02-06,18:18,SWIGGY-INSTAMART,DR,312.00,480422.0,UPI,TXN819656
2024-02-06,18:58,POS NYKAA BANGALORE,DR,"1,868.00",478554.0,UPI,TXN860413
2024-02-07,00:26,ROPPEN TRANSPORTATION,DR,60.00,473612.0,UPI,TXN396439
2024-02-07,01:03,UPI-NYKAA@AXIS,Debit,₹842,473672.0,UPI,TXN828961
2024-02-07,04:18,UPI-SWIGGY4619@OKAXIS,Debit,₹413,474828.0,UPI,TXN951452
